id	title	title_source	title_uri	ccodes	matches	names	types	aat_types	parent_name	parent_id	lon	lat	geowkt	geo_source	geo_id	start	end
13883	Plymouth			GB													
13868	Glasgow			GB													
13861	Wales																
13862	Cape Breton Island																
13863	Virginia			US													
13864	Dundee			GB													
13865	Edinburgh			GB													
13866	Genoa			IT													
13867	Georgia			US													
13869	Grenada																
13870	Halifax			GB													
13871	Jamaica																
13872	London			GB													
13873	Mediterranean Sea																
13874	Montserrat																
13875	Mosquito Coast																
13876	St. Kitts and Nevis																
13877	New York			US													
13878	Nice			FR													
13879	Norwich			GB													
13880	Nottingham			GB													
13881	Paisley			GB													
13882	Philadelphia			US													
13884	Shetland Islands																
13885	Sierra Leone																
13886	Smyrna			TR													
13888	Bahamas																
13889	Bristol			GB													
13890	Cadiz			ES													
84374	Glasgow			GB	gn:2648579;loc:n81039926;viaf:131865526;wd:Q4093;dbp:Glasgow;tgn:7017283		inhabited places				-4.25	55.833333	POINT (-4.25 55.833333)		tgn:7017283		
80977	'Allaqi, Wadi el-			EG		'Allaqi, Wadi el-	river									-2040	-1640
80978	'Anakena			CL	dbp:Anakena	'Anakena	inhabited places				-109.323	-27.0739	POINT (-109.323 -27.0739)		dbp:Anakena	300	1680
80979	A Shau			VN		A Shau	inhabited places				107.2125	16.259305555	POINT (107.2125 16.259305555)		wd:Q4073426	1946	1989
80980	Aachen			DE	dbp:Aachen;wd:Q1017;viaf:124330404;tgn:7004799;gn:3247449;loc:n80046295	Aachen;Aquae Grani;Aquisgranum	inhabited places				6.105278	50.770833	POINT (6.105278 50.770833)		tgn:7004799	1400	1500
80981	Aarhus			DK	dbp:Aarhus;tgn:7003442;wd:Q25319;viaf:127775153;gn:2624652	Aarhus	inhabited places				10.2107	56.1572	POINT (10.2107 56.1572)		dbp:Aarhus	800	1000
80982	Abadan			IR	dbp:Abadan,_Iran;tgn:7002235;wd:Q63049;viaf:159458578;gn:145459;loc:n81097924	Abadan	oil terminal				48.3042	30.3392	POINT (48.3042 30.3392)		dbp:Abadan,_Iran	1900	2005
80983	Abaj Takalik			MX	dbp:Takalik_Abaj	Abaj Takalik	inhabited places				-91.7361	14.6458	POINT (-91.73609999999999 14.6458)		dbp:Takalik_Abaj	-1200	-200
80984	Abancay			PE	dbp:Abancay;tgn:1024345;wd:Q215238;viaf:155939899;gn:3948642;loc:n80110476	Abancay	inhabited places				-72.8833	-13.6333	POINT (-72.88330000000001 -13.6333)		dbp:Abancay	1525	1525
80985	Abbasid Caliphate				dbp:Abbasid_Caliphate	Abbasid Caliphate	nation									800	1200
80986	Abbeville			FR	viaf:71144814351123316648;gn:6455375;loc:n81150065;dbp:Abbeville	Abbeville	inhabited places				1.8358	50.1058	POINT (1.8358 50.1058)		dbp:Abbeville	1400	1493
80987	Abdera			GR	wd:Q188615;gn:736675;tgn:7234254	Abdera	inhabited places				24.97326	40.933684	POINT (24.97326 40.933684)		tgn:7234254	-700	-300
80988	Abenaki				dbp:Abenaki	Abenaki	cultural group									1600	1750
80989	Abensberg			DE	dbp:Abensberg;tgn:1038106	Abensberg	inhabited places				11.85	48.8	POINT (11.85 48.8)		dbp:Abensberg	1794	1815
80990	Aberdeen			GB	dbp:Aberdeen;wd:Q36405;viaf:157104604;tgn:7009782;gn:2657832;loc:n80079501	Aberdeen;Devana	inhabited places				-2.11	57.1526	POINT (-2.11 57.1526)		dbp:Aberdeen	1200	1400
80991	Aberystwyth			GB	dbp:Aberystwyth;wd:Q213154;viaf:148932214;gn:2657782;loc:n81055395;tgn:7008841	Aberystwyth	inhabited places				-4.081	52.414	POINT (-4.081 52.414)		dbp:Aberystwyth	1200	1400
80992	Abeshr			TD	wd:Q242587;viaf:133706282;gn:245785;loc:n81139945;dbp:Abéché;tgn:1088450	Abeshr;Abéché	inhabited places				20.8167	13.8167	POINT (20.8167 13.8167)		tgn:1088450	500	1500
80993	Abhiras				dbp:Abhira_Kingdom	Abhiras	dynasty									-3100	-3100
80994	Abhisara					Abhisara	nation										
80995	Abidjan			CI	dbp:Abidjan;wd:Q1515;viaf:155863050;tgn:1090300;gn:2293538	Abidjan	inhabited places				-4.03333	5.31667	POINT (-4.03333 5.31667)		dbp:Abidjan	2004	2004
80996	Abina			IN		Abina	inhabited places									600	1000
80997	Abitibi				tgn:1120927	Abitibi	cultural group				-80.9167	51.05	POINT (-80.91670000000001 51.05)		tgn:1120927	700	1500
80998	Abkhazia				dbp:Abkhazia;wd:Q31354462;tgn:7012217	Abkhazia	region				40.9833	43	POINT (40.9833 43)		dbp:Abkhazia	1985	2005
80999	Abo			FI		Abo	inhabited places									1500	1595
81000	Abodrites				dbp:Obotrites	Abodrites	cultural group									750	850
81001	Aboriginal Hunter-Gatherers of Australia			AU		Aboriginal Hunter-Gatherers of Australia	cultural group									-5000	-2500
81002	Abu Dhabi			AE	dbp:Abu_Dhabi;wd:Q1519;viaf:136057444;gn:292968;loc:n81147502	Abu Dhabi	inhabited places				54.3667	24.4667	POINT (54.3667 24.4667)		dbp:Abu_Dhabi	1800	1932
81003	Abu Dulaf			IQ		Abu Dulaf	inhabited places									836	892
81004	Abu Hureyra			SY	dbp:Tell_Abu_Hureyra;wd:Q1754526	Abu Hureyra	inhabited places				38.4	35.8667	POINT (38.4 35.8667)		wd:Q1754526	-10000	-5000
81005	Abu Rawash			EG	dbp:Abu_Rawash;wd:Q335278;gn:362239	Abu Rawash	inhabited places				31.075	30.0319	POINT (31.075 30.0319)		dbp:Abu_Rawash	-2575	-2134
81006	Abu Salabikh			IQ	dbp:Abu_Salabikh;wd:Q195128	Abu Salabikh	inhabited places				45.083333	32.266667	POINT (45.083333 32.266667)		wd:Q195128	-4300	-2300
