id_no	wh_name	wiki_title	wiki_pageid	wiki_url	wiki_lead
668	Angkor	Angkor	89811	https://en.wikipedia.org/wiki/Angkor	"Angkor (Khmer: អង្គរ [ʔɑŋkɔː], lit. 'capital city'), also known as Yasodharapura (Khmer: យសោធរបុរៈ; Sanskrit: यशोधरपुर), was the capital city of the Khmer Empire, located in present-day Cambodia. The city and empire flourished from approximately the 9th to the 15th centuries. The city houses the Angkor Wat, a temple complex that is one of Cambodia's most popular tourist attractions. The name Angkor is derived from nokor (នគរ), a Khmer word meaning ""kingdom"" which in turn derived from Sanskrit nagara (नगर), meaning ""city"". The Angkorian period began in AD 802, when the Khmer Hindu monarch Jayavarman II declared himself a ""universal monarch"" and ""god-king"", and lasted until the late 14th century, first falling under Ayutthayan suzerainty in 1351. A Khmer rebellion against Siamese authority resulted in the 1431 sacking of Angkor by Ayutthaya, causing its population to migrate south to Longvek. The alternate name, Yasodharapura, was derived from the name of the foster mother of Lord Krishna in Hinduism. Hinduism was the largest religion in the ancient Khmer Empire, and many temples were constructed by Khmer kings dedicated to Hindu deities, including Angkor Wat. The ruins of Angkor are located amid forests and farmland north of the Great Lake (Tonlé Sap) and south of the Kulen Hills, near modern-day Siem Reap city (13°24′N, 103°51′E), in Siem Reap Province. The temples of the Angkor area number over one thousand, ranging in scale from nondescript piles of brick rubble scattered through rice fields to the Angkor Wat, said to be the world's largest single religious monument. Many of the temples at Angkor have been restored, and together, they comprise the most significant site of Khmer architecture. Visitors approach two million annually, and the entire expanse, including Angkor Wat and Angkor Thom is collectively protected as a UNESCO World Heritage Site. The popularity of the site among tourists presents multiple challenges to the preservation of the ruins. In 2007, an international team of researchers using satellite photographs and other modern techniques concluded that Angkor had been the largest pre-industrial city in the world by surface area, with an elaborate infrastructure system connecting an urban sprawl of at least 1,000 square kilometres (390 sq mi) to the well-known temples at its core. Angkor is considered to be a ""hydraulic city"" because it had a complicated water management network, which was used for systematically stabilizing, storing, and dispersing water throughout the area. This network is believed to have been used for irrigation in order to offset the unpredictable monsoon season and to also support the increasing population. Although the size of its population remains a topic of research and debate, newly identified agricultural systems in the Angkor area may have supported between 750,000 and one million people. Historical overview [ edit ] South gate into Angkor Thom The east gate or ""exit"" of Angkor Wat Angkor Wat at sunrise Seat of the Khmer Empire [ edit ] The Angkorian period may have begun shortly after 800&#160;AD, when the Khmer King Jayavarman II announced the independence of Kambujadesa ( Cambodia ) from Java . According to Sdok Kok Thom inscription , &#91; 1 &#93; &#91; 2 &#93; circa 781 Indrapura was the first capital of Jayavarman II , located in Banteay Prei Nokor , near today's Kompong Cham . &#91; 3 &#93; After he eventually returned to his home, the former kingdom of Chenla"
198	Cahokia Mounds State Historic Site	Cahokia	348454	https://en.wikipedia.org/wiki/Cahokia	The Cahokia Mounds (also simply known as Cahokia) (11 MS 2) is the site of a Native American city (which existed c. 1050–1350 CE) directly across the Mississippi River from present-day St. Louis. The state archaeology park lies in south-western Illinois between East St. Louis and Collinsville. The park covers 2,200 acres (890 ha), or about 3.5 square miles (9 km2), and contains about 80 manmade mounds, but the ancient city was much larger. At its apex around 1100 CE, the city covered about 6 square miles (16 km2), included about 120 earthworks in a wide range of sizes, shapes, and functions, and had a population of between 15,000 and 20,000 people. Cahokia was the largest and most influential urban settlement of the Mississippian culture, which developed advanced societies across much of what is now the Central and the Southeastern United States, beginning around 1000 CE. Today, the Cahokia Mounds are considered to be the largest and most complex archaeological site north of the great pre-Columbian cities in Mexico. The city's original name is unknown. The mounds were later named after the Cahokia tribe, a historic Illiniwek people living in the area when the first French explorers arrived in the 17th century. As this was centuries after Cahokia was abandoned by its original inhabitants, the Cahokia tribe was not necessarily descended from the earlier Mississippian-era people. Most likely, multiple indigenous ethnic groups settled in the Cahokia Mounds area during the time of the city's apex. Cahokia Mounds is a National Historic Landmark and a designated site for state protection. It is also one of the 26 UNESCO World Heritage Sites within the United States. The largest pre-Columbian earthen construction in the Americas north of Mexico, the site is open to the public and administered by the Illinois Historic Preservation Division and supported by the Cahokia Mounds Museum Society. In celebration of the 2018 Illinois state bicentennial, the Cahokia Mounds were selected as one of the Illinois 200 Great Places by the American Institute of Architects Illinois component (AIA Illinois). It was recognized by USA Today Travel magazine, as one of the selections for 'Illinois 25 Must See Places'. Although some evidence exists of occupation during the Late Archaic period (around 1200 BCE) in and around the site, &#91; 1 &#93; Cahokia as it is now defined was settled around 600 CE during the Late Woodland period . Mound building at this location began with the emergent Mississippian cultural period, around the 9th century CE. &#91; 2 &#93; The inhabitants left no written records beyond symbols on pottery, marine shell, copper, wood, and stone , but the evidence of elaborately planned community, woodhenge , mounds, and burials later in time reveal a complex and sophisticated society. &#91; 3 &#93; Cahokia became the most important center for the Mississippian culture . This culture was expressed in settlements that ranged along major waterways across what is now the Midwest , Eastern , and Southeastern United States. Cahokia was located in a strategic position near the confluence of the Mississippi , Missouri , and Illinois Rivers . It maintained trade links with communities as far away as the Great Lakes to the north and the Gulf Coast to
243	Ellora Caves	Ellora Caves	404247	https://en.wikipedia.org/wiki/Ellora_Caves	"The Ellora Caves are a UNESCO World Heritage Site in Aurangabad, India. It is one of the largest rock-cut cave complexes in the world, with artwork dating from AD 600–1000, including Hindu, Buddhist, and Jain caves. The complex is a leading example of Indian rock-cut architecture, and several are not strictly ""caves"" in that they have no roof. Cave 16 features the largest single monolithic rock excavation in the world, the Kailash temple, a chariot-shaped monument dedicated to the god Shiva. The Kailash temple excavation also features sculptures depicting various Hindu deities as well as relief panels summarizing the two major Hindu epics. There are over 100 caves at the site, all excavated from the basalt cliffs in the Charanandri Hills, 34 of which are open to public. These consist of 17 Hindu (caves 13–29), 12 Buddhist (caves 1–12) and 5 Jain (caves 30–34) caves, each group representing deities and mythologies prevalent in the 1st millennium CE, as well as monasteries of each respective religion. They were built close to one another and illustrate the religious harmony that existed in ancient India. All of the Ellora monuments were built during the Rashtrakuta dynasty (r. 753-982 AD), which constructed part of the Hindu and Buddhist caves, and the Yadava dynasty (c. 1187–1317), which constructed a number of the Jain caves. Funding for the construction of the monuments was provided by royals, traders and the wealthy of the region. Although the caves served as temples and a rest stop for pilgrims, the site's location on an ancient South Asian trade route also made it an important commercial centre in the Deccan region. It is 29 km (18 mi) northwest of Aurangabad and about 300 km (190 mi) east-northeast of Mumbai. Today, the Ellora Caves, along with the nearby Ajanta Caves, are a major tourist attraction in the Marathwada region of Maharashtra and a protected monument under the Archaeological Survey of India (ASI)."
1572	Göbekli Tepe	Göbekli Tepe	515395	https://en.wikipedia.org/wiki/G%C3%B6bekli_Tepe	"Göbekli Tepe (Turkish pronunciation: [ɟœbecˈli teˈpe] 'Potbelly Hill'; Kurdish: Girê Mirazan or Xerabreşkê, 'Wish Hill') is an archaeological site from the New Stone Age, in the Turkish part of Upper Mesopotamia. The settlement was inhabited from around 9500 BCE to at least 8000 BCE, during the Pre-Pottery Neolithic. It is known for its circular structures that contain large stone pillars – among the world's oldest known megaliths. Many of these pillars are decorated with anthropomorphic details, clothing, and sculptural reliefs of wild animals, providing archaeologists insights into prehistoric religion and the iconography of the period. The 15 m (50 ft) high, 8 ha (20-acre) tell is covered with ancient domestic structures and other small buildings, quarries, and stone-cut cisterns from the Neolithic, as well as some traces of activity from later periods. The site was first used at the dawn of the southwest Asian Neolithic period, which marked the appearance of the oldest permanent human settlements anywhere in the world. Prehistorians link this Neolithic Revolution to the advent of agriculture but disagree on whether farming caused people to settle down or vice versa. Göbekli Tepe, a monumental complex built on a rocky mountaintop with no clear evidence of agricultural cultivation, has played a prominent role in this debate. Recent findings suggest a settlement at Göbekli Tepe, with domestic structures, extensive cereal processing, a water supply, and tools associated with daily life. This contrasts with a previous interpretation of the site as a sanctuary used by nomads, with few or no permanent inhabitants. No definitive purpose has been determined for the megalithic structures, which have been popularly described as the ""world's first temple[s]"". They were likely roofed and appear to have regularly collapsed, been inundated by landslides, and subsequently repaired or rebuilt. The architecture and iconography are similar to other contemporary sites in the vicinity, such as Karahan Tepe. The site was first noted in a 1963 archaeological survey. German archaeologist Klaus Schmidt recognised its significance in 1994 and began excavations there the following year. After he died in 2014, work continued as a joint project of Istanbul University, Şanlıurfa Museum, and the German Archaeological Institute, under the direction of Turkish prehistorian Necmi Karul. Göbekli Tepe was designated a UNESCO World Heritage Site in 2018, recognising its outstanding universal value as ""one of the first manifestations of human-made monumental architecture"". As of 2021, around 10% of the site has been excavated. Additional areas were examined by geophysical surveys, which showed the mound to contain at least 20 large enclosures."
158	Head-Smashed-In Buffalo Jump	Head-Smashed-In Buffalo Jump	246939	https://en.wikipedia.org/wiki/Head-Smashed-In_Buffalo_Jump	"Head-Smashed-In Buffalo Jump (Blackfoot: Estipah-skikikini-kots) is a museum of Blackfoot culture 18 km (11 mi) west of Fort Macleod, Alberta, Canada. The now disused buffalo jump is a UNESCO world heritage site in an area where the foothills of the Rocky Mountains begin to rise from the prairie. Joe Crowshoe Sr. (1903–1999) – Aapohsoy’yiis (Weasel Tail) – a ceremonial elder of the Piikani Nation in southern Alberta, was instrumental in the development of the site. The Joe Crow Shoe Sr. Lodge is dedicated to his memory. He dedicated his life to preserving Aboriginal culture and promoting the relationship between Aboriginal and non-aboriginal people and in 1998 was awarded the National Aboriginal Achievement Award for ""saving the knowledge and practices of the Blackfoot people."" History [ edit ] The buffalo jump was used for 5,500 years by the indigenous peoples of the plains to kill bison by driving them off the 11-metre-high (36-foot) cliff. Before the late introduction of horses, the Blackfoot drove the bison from a grazing area in the Porcupine Hills about 3 kilometres (1.9&#160;mi) west of the site to the ""drive lanes"", lined by hundreds of cairns , by dressing up as coyotes and wolves. These specialized ""buffalo runners"" were young men trained in animal behavior to guide the bison into the drive lanes. Then, at full gallop, the bison would fall from the weight of the herd pressing behind them, breaking their legs and rendering them immobile. The cliff itself is about 300 metres (980 feet) long, and at its highest point drops 10 metres (33 feet) into the valley below. The site was in use at least 6,000 years ago, and the bone deposits are 12 metres (39 feet) deep. After falling off the cliff, the injured bison were finished off by other Blackfoot warriors at the cliff base armed with spears and clubs. The carcasses were then processed at a nearby camp. The camp at the foot of the cliffs provided the people with everything they needed to process a bison carcass, including fresh water. The bison carcass was used for a variety of purposes, from tools made from the bone, to the hide used to make dwellings and clothing. The importance of the site goes beyond just providing food and supplies. After a successful hunt, the wealth of food allowed the people to enjoy leisure time and pursue artistic and spiritual interests. This increased the cultural complexity of the society. In Blackfoot , the name for the site is Estipah-skikikini-kots . According to legend, a young Blackfoot wanted to watch the bison plunge off the cliff from below, but was buried underneath the falling animals. He was later found dead under the pile of carcasses, where he had his head smashed in. &#91; 1 &#93; World Heritage Site [ edit ] Head-Smashed-In was abandoned in the 19th century after European contact. The site was first recorded by Europeans in the 1880s, and first excavated by the American Museum of Natural History in 1938. It was designated a National Historic Site in 1968, a Provincial Historic Site in 1979, and finally a World Heritage Site in 1981 for its testimony of prehistoric life and the customs of aboriginal people.
822	Historic Centre (Old Town) of Tallinn	Tallinn Old Town	63560550	https://en.wikipedia.org/wiki/Tallinn_Old_Town	Tallinn Old Town (Estonian: Tallinna vanalinn) is the oldest part of Tallinn, Estonia. Old Town of Tallinn has managed to wholly preserve its structure of medieval and Hanseatic origin. Old Town represents an exceptionally intact 13th century city plan. Since 1997, the area has been registered in the UNESCO World Heritage List. The old town is bordered by the Walls of Tallinn. Its area is 113 ha and there is a buffer zone of 2,253 ha. The majority of the Old Town's structures were built during the 13th–16th centuries. During World War II, while the German army occupied Estonia in 1941–1944, Tallinn Old Town suffered from several instances of aerial bombing by the Soviet air force. During the most destructive Soviet bombing raid on 9–10 March 1944, over a thousand incendiary bombs were dropped on Tallinn, causing widespread fires, destroying about 10% of the buildings in the Old Town, killing hundreds, and leaving over 20,000 people without shelter. From the 13th century until the first half of the 20th century, Tallinn was known in most of the world by variants of its other historical name Reval. The first archaeological traces of a small hunter-fisherman community's presence in what is now Tallinn's city centre are about 5,000 years old. The comb ceramic pottery found on the site dates to about 3000 BCE and corded ware pottery around 2500 BCE. Fortress was built in what is now central Tallinn, on the hill of Toompea. As an important port on a major trade route between Novgorod and western Europe, it became a target for the expansion of the Teutonic Order and the Kingdom of Denmark during the period of Northern Crusades in the beginning of the 13th century when Roman Catholic Christianity was forcibly imposed on the local population. The King Valdemar II of Denmark conquered Tallinn and northern Estonia in 1219. 
1033	Historic Centre of Vienna	Innere Stadt	1399183	https://en.wikipedia.org/wiki/Innere_Stadt	"The Innere Stadt (German pronunciation: [ˈɪnərə ˈʃtad] ; Viennese: Innare Stod; ""Inner City"") is the 1st municipal district of Vienna (German: 1. Bezirk) located in the center of the Austrian capital. The Innere Stadt is the old town of Vienna. Until the city boundaries were expanded in 1850, the Innere Stadt was congruent with the city of Vienna. Traditionally it was divided into four quarters, which were designated after important town gates: Stubenviertel (northeast), Kärntner Viertel (southeast), Widmerviertel (southwest), Schottenviertel (northwest). The Ringstraße circles the Innere Stadt along the route of the former city walls. The first district is, with a workforce of 100,745, the largest employment locale in Vienna. This is partially due to tourism, as well as the presence of many corporate headquarters due to the district's central location. The origins of the Innere Stadt date back to a Celtic settlement and later Roman legionary camp of Vindobona and its canabae . Until the incorporation of the suburbs in 1850, Vienna's history was largely that of today’s 1st district. The Innere Stadt remained the political, economic, and spiritual centre of the city, home to Vienna City Hall , the Hofburg Palace , the official residence of the president , and St. Stephen's Cathedral , the cathedral of the Archdiocese of Vienna ."
379	Historic City of Toledo	Toledo, Spain	31360	https://en.wikipedia.org/wiki/Toledo,_Spain	"Toledo (UK: tol-AY-doh; Spanish: [toˈleðo] ) is a city and municipality in Spain. It is the capital of the province of Toledo and the de jure seat of the government and parliament of the autonomous community of Castilla–La Mancha. Toledo is primarily located on the right (north) bank of the Tagus in central Iberia, nestled in a bend of the river. Built on a previous Carpetanian settlement, Toledo developed into an important Roman city of Hispania, later becoming the capital of the Visigothic Kingdom and seat of a powerful archdiocese. Often unsubmissive to Umayyad central rule during the Islamic period, Toledo nonetheless acquired a status as a major cultural centre promoting productive cultural exchanges between the Islamic world and Latin Christendom, which it retained after the collapse of the caliphate and the creation of the Taifa of Toledo in the early 11th century. Following the Christian conquest in 1085, Toledo continued to enjoy an important status within the Crown of Castile and remained open to Muslim and Jewish influences for the next two centuries. In the early modern period, the economy stayed afloat for a while after the loss of political power to Madrid thanks to the silk industry, but Toledo entered a true decline in the 1630s, in the context of overall economic recession. In the 21st century, population growth in the municipality has largely concentrated in the Santa María de Benquerencia (a.k.a. Polígono) district, a modern residential area detached from the historic centre located upstream on the left (south) bank of the Tagus. As of January 2024, the municipality had a population of 86,526. The municipality has an area of 232.1 km2 (89.6 sq mi). The city has a Gothic cathedral and a long history in the production of bladed weapons, which are now commonly sold as souvenirs. Toledo was declared a World Heritage Site by UNESCO in 1986 for its extensive monumental and cultural heritage. Roman era and late antiquity [ edit ] Toledo ( Latin : Toletum ) is described by the Roman historian Livy (ca. 59 BC – 17 AD) as urbs parva, sed loco munita (""a small city, but fortified by location""). Roman general Marcus Fulvius Nobilior fought a battle near the city in 193 BC against a confederation of Celtic tribes, defeating them and capturing a king called Hilermus. &#91; 1 &#93; &#91; 2 &#93; At that time, Toletum was a city of the Carpetani tribe in the region of Carpetania . &#91; 3 &#93; It was incorporated into the Roman Empire as a civitas stipendiaria (a tributary city of non-citizens) and later as a municipium . &#91; 4 &#93; With this status, city officials obtained Roman citizenship for public service, and the forms of Roman law and politics were increasingly adopted. &#91; 5 &#93; At approximately this time, a Roman circus , city walls, public baths , and a municipal water supply and storage system were constructed in Toletum. &#91; 6 &#93; The Roman circus in Toledo was one of the largest in Hispania . The circus could hold up to 15,000 spectators. A fragmentary stone inscription records circus games paid for by a citizen of unknown name to"
688	Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)	Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)	15248529	https://en.wikipedia.org/wiki/Historic_Monuments_of_Ancient_Kyoto_(Kyoto,_Uji_and_Otsu_Cities)	Kyoto is one of the oldest municipalities in Japan, having been chosen in 794 as the new seat of Japan's imperial court by Emperor Kanmu. The original city, named Heian-kyō, was arranged in accordance with traditional Chinese feng shui following the model of the ancient Chinese capitals of Chang'an and Luoyang. The emperors of Japan ruled from Kyoto in the following eleven centuries until 1869. It was the scene of several key events of the Muromachi period, Sengoku period, and the Boshin War, such as the Ōnin War, the Honnō-ji Incident, the Kinmon incident, and the Battle of Toba–Fushimi. The capital was relocated from Kyoto to Tokyo after the Meiji Restoration. The modern municipality of Kyoto was established in 1889. The city was spared from large-scale destruction during World War II and, as a result, its prewar cultural heritage has mostly been preserved. Ample archeological evidence suggests human settlement in the area of Kyoto began as early as the Paleolithic period,although not much published material is retained about human activity in the region before the 6th century, around which time the Shimogamo Shrine is believed to have been established. Before Kyoto became the imperial capital, immigrants from mainland Asia contributed to the development of the area. Kyoto is considered the cultural capital of Japan and is a major tourist destination. The Agency for Cultural Affairs of the national government is headquartered in the city. It is home to numerous Buddhist temples, Shinto shrines, palaces and gardens, some of which have been designated collectively as a World Heritage Site by UNESCO. Prominent landmarks include the Kyoto Imperial Palace, Kiyomizu-dera, Kinkaku-ji, Ginkaku-ji, and Kyoto Tower. The internationally renowned video game company Nintendo is based in Kyoto. Kyoto is also a center of higher learning in the country, and its institutions include Kyoto University, the second-oldest university in Japan.
274	Historic Sanctuary of Machu Picchu	Machu Picchu	80019	https://en.wikipedia.org/wiki/Machu_Picchu	"Machu Picchu is a 15th-century Inca citadel located in the Eastern Cordillera of southern Peru on a mountain ridge at 2,430 meters (7,970 ft). It is situated in the Machupicchu District of Urubamba Province about 80 kilometers (50 miles) northwest of Cusco, above the Sacred Valley and along the Urubamba River, which forms a deep canyon with a subtropical mountain climate. Often referred to as the ""Lost City of the Incas"", Machu Picchu is one of the most iconic symbols of the Inca civilization and a major archaeological site in the Americas. Built around 1450, it is believed to have served as an estate for the Inca emperor Pachacuti, though no contemporary written records exist to confirm this. The site was abandoned roughly a century later, likely during the Spanish conquest. Modern radiocarbon dating places its occupation between c. 1420 and 1530. Machu Picchu was constructed in the classical Inca style, featuring finely crafted dry-stone walls. Notable structures include the Temple of the Sun, the Temple of the Three Windows, and the Intihuatana ritual stone. Although the site was known locally and reached in the early 20th century by Peruvian explorer Agustín Lizárraga, it was brought to international attention in 1911 by American historian Hiram Bingham III. The original Inca name of the site may have been Huayna Picchu, after the mountain on which part of the complex stands. Designated a National Historic Sanctuary by Peru in 1981 and a UNESCO World Heritage Site in 1983, Machu Picchu was also named one of the New Seven Wonders of the World in 2007. As of 2024, the site receives over 1.5 million visitors annually, making it Peru's most visited international tourist destination. History [ edit ] One of the first pictures of Machu Picchu, taken by Hiram Bingham III in 1912 after major clearing and before reconstruction work began The issue of Machu Picchu’s early chronology remains a matter of scholarly debate. Earlier chronological models, based mainly on John H. Rowe 's historical reconstruction of the reign of Pachacuti Inca Yupanqui, have placed the beginning of construction around 1450, 10 years after his takeover. &#91; 1 &#93; &#91; 2 &#93; &#91; 3 &#93; However, a 2021 study led by Richard L. Burger , professor of anthropology at Yale University ), reporting 26 AMS radiocarbon measurements from human remains concluded that Machu Picchu was occupied from around 1420 to 1530. &#91; 4 &#93; Similar conclusions supporting an earlier 15th-century chronology have been reported by other radiocarbon studies. &#91; 5 &#93; &#91; 6 &#93; Construction appears to date from two Sapa Incas , Pachacutec Inca Yupanqui (1438–1471) and Túpac Inca Yupanqui (1472–1493). &#91; 7 &#93; &#91; 8 &#93; A consensus among archaeologists is that Pachacutec ordered the construction of the royal estate after his conquest of the middle and lower Urubamba, this has been interpreted as part of a broader program of establishing royal estates along the Urubamba River. Machu Picchu’s palace complex is thought to have functioned as a seasonal royal retreat. Although Machu Picchu is considered to be a royal estate, it would not have been passed down in the line of succession . Rather it was used for 80 years before being abandoned, seemingly because of the Spanish conquests in other parts of the"
303	Iguazu National Park	Iguazú National Park	2432853	https://en.wikipedia.org/wiki/Iguaz%C3%BA_National_Park	"The Iguazú National Park (Spanish: Parque Nacional Iguazú) is a national park of Argentina, located in the Iguazú Department, in the north of the province of Misiones, Argentine Mesopotamia. It has an area of 677 km2 (261 sq mi). History [ edit ] Aerial view of the Iguazu River . The area of the park was inhabited 10,000 years ago by the hunter-gatherers of the Eldoradense culture. They were displaced around 1,000 CE by the Guaraní , who brought new agricultural technologies, and were displaced in turn by the Spanish and Portuguese conquistadores in the 16th century, though their legacy is still alive in this area (the name of the park and the river is Guaraní y guasu , ""large water""). The first European to visit the zone was Álvar Núñez Cabeza de Vaca , in 1542; Jesuit missions followed in 1609. The park was created in 1934 to protect one of the greatest natural beauties of Argentina, the Iguazu Falls , surrounded by the subtropical jungle. The Iguazú National Reserve was defined by law 18.801 of 7 October 1970 as constituting the western part of the Iguazú National Park. &#91; 1 &#93; While the national park preserves nature with the least possible alteration, the reserve admits human activities and infrastructure. &#91; 2 &#93; Creation of the reserve allowed construction of an international airport and alienation of land for three tourist hotels. &#91; 3 &#93; Across the Iguazu River lies its Brazilian counterpart ( Iguaçu National Park ). Both sites were declared World Heritage Sites by UNESCO , in 1984. &#91; 4 &#93; The park would be part of the proposed Trinational Biodiversity Corridor , which aims to provide forest connections between conservation units in Brazil, Paraguay and Argentina in the Upper Paraná ecoregion.
527	Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra	Kyiv Pechersk Lavra	478837	https://en.wikipedia.org/wiki/Kyiv_Pechersk_Lavra	"The Kyiv Pechersk Lavra or Kyievo-Pecherska Lavra (Ukrainian: Києво-Печерська лавра), also known as the Kyiv Monastery of the Caves, is a historic lavra or large monastery of Eastern Christianity that gave its name to the Pecherskyi District where it is located in Kyiv. Since its foundation as the cave monastery in 1051, the Lavra has been a preeminent center of Eastern Christianity in Eastern Europe. History [ edit ] Foundation and early history [ edit ] The Primary Chronicle contains contradictory information as to when the monastery was founded: in 1051, or in 1074. &#91; 1 &#93; Anthony , a monk on Mount Athos , originally from Liubech of the Principality of Chernigov , returned to Rus' and settled in Kyiv as a missionary of monastic tradition to Kyivan Rus'. He chose a cave at the Berestov Mount that overlooked the Dnieper River and a community of disciples soon grew. Prince Iziaslav I of Kyiv (1024–1078) ceded the whole mount to the Anthonite monks who founded a monastery built by architects from Constantinople . &#91; citation needed &#93; In 1096 the monastery was plundered by the Cumans . Later it fell victim to the Mongolian invaders , and in 1416 was burned down by forces of Golden Horde ruler Edigey , being rebuilt only in 1470. &#91; 2 &#93; At the Kyiv Pechersk Lavra were buried some high-importance personalities from the period when Kyiv was a part of the Grand Duchy of Lithuania : Prince of Kyiv Vladimir Olgerdovich and his son Aleksandras Olelka , the Lithuanian and Ruthenian Grand Duke Švitrigaila , Feodor Ostrogski , Uliana Olshanska (a second wife of the Lithuanian Grand Duke Vytautas the Great ), and the Lithuanian Grand Hetman Konstanty Ostrogski , known for commanding the Grand Ducal Lithuanian Army in the victorious Battle of Orsha (1514) versus the Grand Principality of Moscow Army. &#91; 3 &#93; Mayors of Kyiv , members of the szlachta and Cossack starshyna , as well as church hierarchs also found their burial place in the monastery. &#91; 2 &#93; Baroque era and Russian rule [ edit ] In the 17th century, under the leadership of archimandrites Eliseus Pletenetsky , Zacharias Kopystensky and Peter Mohyla , the monastery stood at the heart of Ukrainian national identity. Kyiv Caves Patericon , which was created by Lavra's monks and soon became a popular reading around the whole Eastern Europe , contributed to the emergence of the symbolic image of Kyiv as a capital of Eastern Orthodoxy . Lavra's printing house, established by Pletenetskyi in the 1620s, started the process of Kyiv's cultural revival, and the monastery's school, founded by Mohyla, introduced European educational trends of the time, leading to a radical reform of education. During the Baroque era Kyiv Pechersk Lavra flourished as a centre of arts and spirituality, and pilgrimage to Kyiv was seen by some as more preferable than visiting Jerusalem . &#91; 2 &#93; According to a legend published by polemicist and preacher Joannicius Galiatovsky &#160;&#91; uk &#93; , in 1630 the monastery was besieged by a Polish army, but the Holy Mother of God protected its monks by turning a ""fiery rain"" against the invaders. &#91; 4 &#93; Despite the patronage of powerful figures, including Ivan Mazepa and Raphael Zaborovsky , the Annexation of the Metropolis of Kyiv by the Moscow Patriarchate in"
811	Old Town of Lijiang	Old Town of Lijiang	17155510	https://en.wikipedia.org/wiki/Old_Town_of_Lijiang	"Dayan (Chinese: 大研), commonly called the Old Town of Lijiang (simplified Chinese: 丽江古城; traditional Chinese: 麗江古城) is the historical center of Lijiang City, in Yunnan, China. It is a UNESCO World Heritage Site. History [ edit ] .mw-parser-output .hatnote{font-style:italic}.mw-parser-output div.hatnote{padding-left:1.6em;margin-bottom:0.5em}.mw-parser-output .hatnote i{font-style:normal}.mw-parser-output .hatnote+link+.hatnote{margin-top:-0.5em}@media print{body.ns-0 .mw-parser-output .hatnote{display:none!important}} Further information: Chiefdom of Lijiang Shops along the street with Jade Dragon Snow Mountain in the background The town has a history going back more than 1,000 years and was once a confluence for trade along the ""Old Tea Horse Caravan Trail"". The Dayan Old town is famous for its orderly system of waterways and bridges, a system fast becoming but a memory as the underground water table drops, probably due to over-building in the suburban areas. Lijiang's culture combines traditional Nakhi culture and incongruous elements learned from Ming dynasty Han Chinese traders who settled in the region centuries ago. Nakhi people have kept alive a timber and mud brick housing style which they learned from Nanjing traders. Local carpenters still build elaborately constructed timber house frames from memory without blueprints or other diagrams. These houses are often enhanced by detailed flower and bird carvings on the windows. The carvings are now made by ethnic Bai artisans, but attention is given to depicting the flora and fauna of the four seasons in the traditional Han Chinese manner. Even impoverished farming families gather their resources to install carved windows, and seem to consider them more important than furniture for the house. The window panels are available for sale to tourists. The Nakhi people learned Chinese classical music from the visitors from Nanjing during the Ming Dynasty and continue to play that music even to this day, long after the art died out in other parts of China. The old musicians have been organized for regular performances in Dayan Old Town and less regular performances in the outlying villages. Side by side with this well preserved evidence of Han culture resides Nakhi local culture, and this can be seen in the old town and on many street corners even today in the form of circle dances, attended by young and old from the local neighborhoods. The Dayan Old Town circle dances are led by Hakhi women in local Nakhi costume. Circle dancing in costume is also a custom of the Tibetan people to the north of Lijiang and of the Bai people to the south. Previously there were substantial Tibetan and Bai settlements in Dayan Old Town but most of these people have been resettled to districts away from the tourist areas. Tibetan circle dancing can be seen occasionally in Dayan Old Town and more regularly in private gardens and Nongjiale (农家乐) gatherings of local Tibetans. Both Nakhi and Tibetan circle dancing are practiced outside of the town's Tibetan temples Wenfeng Si (文峰寺) on Wenbifeng (文笔峰) Mountain, Zhiyun Si (指云寺) near Lashi Hai Lake (拉市海), and Fuguo Si (富国寺) on Jade Dragon Mountain (玉龙雪山), especially on temple festival days. Greater Lijiang (including Dayan, and two villages to the north, called Baisha (白沙) and Shuhe (束河) respectively) was registered on the UNESCO World Heritage List on December 4, 1997. &#91; 1 &#93; Since then, the local government has taken more responsibility for the development and protection of the old city. Lijiang's tourism increased over the past twenty years, and travelers from around the"
