GEnS_ID	GEnS_Code	GEnZ_ID	GEnZ_Name
1	A1	1	Arctic 1
2	A2	1	Arctic 1
3	B1	2	Arctic 2
4	B2	2	Arctic 2
5	B3	2	Arctic 2
6	C1	3	Extremely cold and wet 1
7	C2	3	Extremely cold and wet 1
8	D1	4	Extremely cold and wet 2
9	D2	4	Extremely cold and wet 2
10	D3	4	Extremely cold and wet 2
11	F1	6	Extremely cold and mesic
12	F2	6	Extremely cold and mesic
13	E1	5	Cold and wet
14	E2	5	Cold and wet
15	F3	6	Extremely cold and mesic
16	F4	6	Extremely cold and mesic
17	F5	6	Extremely cold and mesic
18	F6	6	Extremely cold and mesic
19	F7	6	Extremely cold and mesic
20	F8	6	Extremely cold and mesic
21	F9	6	Extremely cold and mesic
22	F10	6	Extremely cold and mesic
23	C3	3	Extremely cold and wet 1
24	E3	5	Cold and wet
25	F11	6	Extremely cold and mesic
26	F12	6	Extremely cold and mesic
27	F13	6	Extremely cold and mesic
28	F14	6	Extremely cold and mesic
29	F15	6	Extremely cold and mesic
30	G1	7	Cold and mesic
31	G2	7	Cold and mesic
32	E4	5	Cold and wet
33	G3	7	Cold and mesic
34	G4	7	Cold and mesic
35	G5	7	Cold and mesic
36	G6	7	Cold and mesic
37	G7	7	Cold and mesic
38	G8	7	Cold and mesic
39	E5	5	Cold and wet
40	G9	7	Cold and mesic
41	G10	7	Cold and mesic
42	G11	7	Cold and mesic
43	H1	8	Cool temperate and dry
44	G12	7	Cold and mesic
45	H2	8	Cool temperate and dry
46	H3	8	Cool temperate and dry
47	G13	7	Cold and mesic
48	G14	7	Cold and mesic
49	J1	10	Cool temperate and moist
50	H4	8	Cool temperate and dry
51	H5	8	Cool temperate and dry
52	H6	8	Cool temperate and dry
53	J2	10	Cool temperate and moist
54	H7	8	Cool temperate and dry
55	J3	10	Cool temperate and moist
56	H8	8	Cool temperate and dry
57	H9	8	Cool temperate and dry
58	I1	9	Cool temperate and xeric
59	I2	9	Cool temperate and xeric
60	J4	10	Cool temperate and moist
61	J5	10	Cool temperate and moist
62	J6	10	Cool temperate and moist
63	I3	9	Cool temperate and xeric
64	I4	9	Cool temperate and xeric
65	I5	9	Cool temperate and xeric
66	K1	11	Warm temperate and mesic
67	K2	11	Warm temperate and mesic
68	K3	11	Warm temperate and mesic
69	I6	9	Cool temperate and xeric
70	K4	11	Warm temperate and mesic
71	K5	11	Warm temperate and mesic
72	K6	11	Warm temperate and mesic
73	K7	11	Warm temperate and mesic
74	K8	11	Warm temperate and mesic
75	K9	11	Warm temperate and mesic
76	K10	11	Warm temperate and mesic
77	K11	11	Warm temperate and mesic
78	L1	12	Warm temperate and xeric
79	L2	12	Warm temperate and xeric
80	K12	11	Warm temperate and mesic
81	K13	11	Warm temperate and mesic
82	L3	12	Warm temperate and xeric
83	N1	14	Hot and dry
84	L4	12	Warm temperate and xeric
85	N2	14	Hot and dry
86	L5	12	Warm temperate and xeric
87	N3	14	Hot and dry
88	N4	14	Hot and dry
89	L6	12	Warm temperate and xeric
90	N5	14	Hot and dry
91	N6	14	Hot and dry
92	N7	14	Hot and dry
93	N8	14	Hot and dry
94	N9	14	Hot and dry
95	M1	13	Hot and mesic
96	N10	14	Hot and dry
97	N11	14	Hot and dry
98	M2	13	Hot and mesic
99	O1	15	Hot and arid
100	M3	13	Hot and mesic
101	M4	13	Hot and mesic
102	M5	13	Hot and mesic
103	O2	15	Hot and arid
104	M6	13	Hot and mesic
105	M7	13	Hot and mesic
106	M8	13	Hot and mesic
107	O3	15	Hot and arid
108	R1	18	Extremely hot and moist
109	R2	18	Extremely hot and moist
110	P1	16	Extremely hot and arid
111	R3	18	Extremely hot and moist
112	R4	18	Extremely hot and moist
113	R5	18	Extremely hot and moist
114	R6	18	Extremely hot and moist
115	R7	18	Extremely hot and moist
116	P2	16	Extremely hot and arid
117	R8	18	Extremely hot and moist
118	R9	18	Extremely hot and moist
119	Q1	17	Extremely hot and xeric
120	R10	18	Extremely hot and moist
121	Q2	17	Extremely hot and xeric
122	Q3	17	Extremely hot and xeric
123	Q4	17	Extremely hot and xeric
124	Q5	17	Extremely hot and xeric
125	Q6	17	Extremely hot and xeric
