Eco_ID	Ecoregion_Name	MHT_ID	MHT_Name
101	Alaskan Coastal	11	Polar freshwaters
102	Upper Yukon	11	Polar freshwaters
103	Alaska & Canada Pacific Coastal	5	Temperate coastal rivers
104	Upper Mackenzie	7	Temperate floodplain rivers and wetlands
105	Lower Mackenzie	11	Polar freshwaters
106	Central Arctic Coastal	11	Polar freshwaters
107	Upper Saskatchewan	6	Temperate upland rivers
108	Middle Saskatchewan	6	Temperate upland rivers
109	English - Winnipeg Lakes	1	Large lakes
110	Southern Hudson Bay	5	Temperate coastal rivers
111	Western Hudson Bay	11	Polar freshwaters
112	Canadian Arctic Archipelago	11	Polar freshwaters
113	Eastern Hudson Bay - Ungava	5	Temperate coastal rivers
114	Gulf of St.Lawrence Coastal Drainages	5	Temperate coastal rivers
115	Canadian Atlantic Islands	5	Temperate coastal rivers
116	Laurentian Great Lakes	1	Large lakes
117	St.Lawrence	5	Temperate coastal rivers
118	Northeast US & Southeast Canada Atlantic Drainages	5	Temperate coastal rivers
119	Scotia - Fundy	5	Temperate coastal rivers
120	Columbia Glaciated	6	Temperate upland rivers
121	Columbia Unglaciated	7	Temperate floodplain rivers and wetlands
122	Upper Snake	6	Temperate upland rivers
123	Oregon & Northern California Coastal	5	Temperate coastal rivers
124	Oregon Lakes	4	Xeric freshwaters and endorheic basins
125	Sacramento - San Joaquin	5	Temperate coastal rivers
126	Lahontan	4	Xeric freshwaters and endorheic basins
127	Bonneville	4	Xeric freshwaters and endorheic basins
128	Death Valley	4	Xeric freshwaters and endorheic basins
129	Vegas - Virgin	4	Xeric freshwaters and endorheic basins
130	Colorado	4	Xeric freshwaters and endorheic basins
131	Gila	4	Xeric freshwaters and endorheic basins
132	Upper Rio Grande - Bravo	6	Temperate upland rivers
133	Pecos	4	Xeric freshwaters and endorheic basins
134	Rio Conchos	4	Xeric freshwaters and endorheic basins
135	Lower Rio Grande - Bravo	7	Temperate floodplain rivers and wetlands
136	Cuatro Cienegas	4	Xeric freshwaters and endorheic basins
137	Rio Salado	4	Xeric freshwaters and endorheic basins
138	Rio San Juan (Mexico)	4	Xeric freshwaters and endorheic basins
139	West Texas Gulf	8	Tropical and subtropical coastal rivers
140	East Texas Gulf	5	Temperate coastal rivers
141	Sabine - Galveston	5	Temperate coastal rivers
142	Upper Missouri	6	Temperate upland rivers
143	Middle Missouri	7	Temperate floodplain rivers and wetlands
144	US Southern Plains	6	Temperate upland rivers
145	Ouachita Highlands	6	Temperate upland rivers
146	Central Prairie	6	Temperate upland rivers
147	Ozark Highlands	6	Temperate upland rivers
148	Upper Mississippi	7	Temperate floodplain rivers and wetlands
149	Lower Mississippi	7	Temperate floodplain rivers and wetlands
150	Teays - Old Ohio	6	Temperate upland rivers
151	Cumberland	6	Temperate upland rivers
152	Tennessee	6	Temperate upland rivers
153	Mobile Bay	7	Temperate floodplain rivers and wetlands
154	West Florida Gulf	5	Temperate coastal rivers
155	Apalachicola	7	Temperate floodplain rivers and wetlands
156	Florida Peninsula	8	Tropical and subtropical coastal rivers
157	Appalachian Piedmont	5	Temperate coastal rivers
158	Chesapeake Bay	5	Temperate coastal rivers
159	Southern California Coastal - Baja California	4	Xeric freshwaters and endorheic basins
160	Sonora	4	Xeric freshwaters and endorheic basins
161	Guzman - Samalayuca	4	Xeric freshwaters and endorheic basins
162	Sinaloa	8	Tropical and subtropical coastal rivers
163	Mayran - Viesca	4	Xeric freshwaters and endorheic basins
164	Rio Santiago	8	Tropical and subtropical coastal rivers
165	Lerma - Chapala	4	Xeric freshwaters and endorheic basins
166	Llanos El Salado	4	Xeric freshwaters and endorheic basins
167	Panuco	8	Tropical and subtropical coastal rivers
168	Ameca - Manantlan	8	Tropical and subtropical coastal rivers
169	Rio Balsas	8	Tropical and subtropical coastal rivers
170	Sierra Madre del Sur	8	Tropical and subtropical coastal rivers
171	Papaloapan	8	Tropical and subtropical coastal rivers
172	Coatzacoalcos	8	Tropical and subtropical coastal rivers
173	Grijalva - Usumacinta	8	Tropical and subtropical coastal rivers
174	Upper Usumacinta	9	Tropical and subtropical upland rivers
175	Yucatan	8	Tropical and subtropical coastal rivers
176	Bermuda	12	Oceanic islands
201	Chiapas - Fonseca	8	Tropical and subtropical coastal rivers
202	Quintana Roo - Motagua	8	Tropical and subtropical coastal rivers
203	Mosquitia	8	Tropical and subtropical coastal rivers
204	Estero Real - Tempisque	8	Tropical and subtropical coastal rivers
205	San Juan (Nicaragua/Costa Rica)	8	Tropical and subtropical coastal rivers
206	Chiriqui	8	Tropical and subtropical coastal rivers
207	Isthmus Caribbean	8	Tropical and subtropical coastal rivers
208	Santa Maria	8	Tropical and subtropical coastal rivers
209	Chagres	8	Tropical and subtropical coastal rivers
210	Rio Tuira	8	Tropical and subtropical coastal rivers
211	Cuba - Cayman Islands	8	Tropical and subtropical coastal rivers
212	Bahama Archipelago	8	Tropical and subtropical coastal rivers
213	Jamaica	8	Tropical and subtropical coastal rivers
214	Hispaniola	8	Tropical and subtropical coastal rivers
215	Puerto Rico - Virgin Islands	8	Tropical and subtropical coastal rivers
216	Windward & Leeward Islands	8	Tropical and subtropical coastal rivers
217	Cocos Island (Costa Rica)	12	Oceanic islands
301	North Andean Pacific Slopes - Rio Atrato	8	Tropical and subtropical coastal rivers
302	Magdalena - Sinu	9	Tropical and subtropical upland rivers
303	Maracaibo	1	Large lakes
304	South America Caribbean Drainages - Trinidad	8	Tropical and subtropical coastal rivers
305	Orinoco High Andes	3	Montane freshwaters
306	Orinoco Piedmont	3	Montane freshwaters
307	Orinoco Llanos	10	Tropical and subtropical floodplain rivers and wetlands
308	Orinoco Guiana Shield	9	Tropical and subtropical upland rivers
309	Orinoco Delta & Coastal Drainages	2	Large river deltas
310	Essequibo	9	Tropical and subtropical upland rivers
311	Guianas	9	Tropical and subtropical upland rivers
312	Amazonas High Andes	3	Montane freshwaters
313	Western Amazon Piedmont	3	Montane freshwaters
314	Rio Negro	10	Tropical and subtropical floodplain rivers and wetlands
315	Amazonas Guiana Shield	9	Tropical and subtropical upland rivers
316	Amazonas Lowlands	10	Tropical and subtropical floodplain rivers and wetlands
317	Ucayali - Urubamba Piedmont	3	Montane freshwaters
318	Mamore - Madre de Dios Piedmont	9	Tropical and subtropical upland rivers
319	Guapore - Itenez	9	Tropical and subtropical upland rivers
320	Tapajos - Juruena	9	Tropical and subtropical upland rivers
321	Madeira Brazilian Shield	9	Tropical and subtropical upland rivers
322	Xingu	9	Tropical and subtropical upland rivers
323	Amazonas Estuary & Coastal Drainages	2	Large river deltas
324	Tocantins - Araguaia	9	Tropical and subtropical upland rivers
325	Parnaiba	9	Tropical and subtropical upland rivers
326	Northeastern Caatinga & Coastal Drainages	8	Tropical and subtropical coastal rivers
327	S. Francisco	9	Tropical and subtropical upland rivers
328	Northeastern Mata Atlantica	8	Tropical and subtropical coastal rivers
329	Paraiba do Sul	8	Tropical and subtropical coastal rivers
330	Ribeira de Iguape	8	Tropical and subtropical coastal rivers
331	Southeastern Mata Atlantica	8	Tropical and subtropical coastal rivers
332	Lower Uruguay	9	Tropical and subtropical upland rivers
333	Upper Uruguay	9	Tropical and subtropical upland rivers
334	Laguna dos Patos	5	Temperate coastal rivers
335	Tramandai - Mampituba	8	Tropical and subtropical coastal rivers
336	Central Andean Pacific Slopes	4	Xeric freshwaters and endorheic basins
337	Titicaca	4	Xeric freshwaters and endorheic basins
338	Atacama	4	Xeric freshwaters and endorheic basins
339	Mar Chiquita - Salinas Grandes	4	Xeric freshwaters and endorheic basins
340	Cuyan - Desaguadero	3	Montane freshwaters
341	South Andean Pacific Slopes	5	Temperate coastal rivers
342	Chaco	10	Tropical and subtropical floodplain rivers and wetlands
343	Paraguay	10	Tropical and subtropical floodplain rivers and wetlands
344	Upper Parana	9	Tropical and subtropical upland rivers
345	Lower Parana	7	Temperate floodplain rivers and wetlands
346	Iguassu	9	Tropical and subtropical upland rivers
347	Bonaerensean Drainages	5	Temperate coastal rivers
348	Patagonia	5	Temperate coastal rivers
349	Valdivian Lakes	5	Temperate coastal rivers
350	Galapagos Islands	12	Oceanic islands
351	Juan Fernandez Island	12	Oceanic islands
352	Fluminense	8	Tropical and subtropical coastal rivers
401	Iceland - Jan Mayen	11	Polar freshwaters
