eco_id	eco_name	slug	oneearth_title	match_type	score
1	Albertine Rift montane forests	albertine-rift-montane-forests	Albertine Rift Montane Forests	norm_exact	1.0000
2	Cameroon Highlands forests	cameroon-highlands-forests	Cameroon Highlands Forests	norm_exact	1.0000
3	Central Congolian lowland forests	central-congolian-lowland-forests	Central Congolian Lowland Forests	norm_exact	1.0000
4	Comoros forests	comoros-forests	Comoros Forests	norm_exact	1.0000
5	Congolian coastal forests	congolian-coastal-forests	Congolian Coastal Forests	norm_exact	1.0000
6	Cross-Niger transition forests	cross-niger-transition-forests	Cross-Niger Transition Forests	norm_exact	1.0000
7	Cross-Sanaga-Bioko coastal forests	cross-sanaga-bioko-coastal-forests	Cross-Sanaga-Bioko Coastal Forests	norm_exact	1.0000
8	East African montane forests	east-african-montane-forests	East African Montane Forests	norm_exact	1.0000
9	Eastern Arc forests	eastern-arc-forests	Eastern Arc Forests	norm_exact	1.0000
10	Eastern Congolian swamp forests	eastern-congolian-swamp-forests	Eastern Congolian Swamp Forests	norm_exact	1.0000
11	Eastern Guinean forests	eastern-guinean-forests	Eastern Guinean Forests	norm_exact	1.0000
12	Ethiopian montane forests	ethiopian-montane-forests	Ethiopian Montane Forests	norm_exact	1.0000
13	Granitic Seychelles forests	granitic-seychelles-forests	Granitic Seychelles Forests	norm_exact	1.0000
14	Guinean montane forests	guinean-montane-forests	Guinean Montane Forests	norm_exact	1.0000
15	Knysna-Amatole montane forests	knysna-amatole-montane-forests	Knysna-Amatole Montane Forests	norm_exact	1.0000
16	Kwazulu Natal-Cape coastal forests	kwazulu-natal-cape-coastal-forests	Kwazulu Natal-Cape Coastal Forests	norm_exact	1.0000
17	Madagascar humid forests	madagascar-humid-forests	Madagascar Humid Forests	norm_exact	1.0000
18	Madagascar subhumid forests	madagascar-subhumid-forests	Madagascar Subhumid Forests	norm_exact	1.0000
19	Maputaland coastal forests and woodlands	maputaland-coastal-forests-and-woodlands	Maputaland Coastal Forests and Woodlands	norm_exact	1.0000
20	Mascarene forests	mascarene-forests	Mascarene Forests	norm_exact	1.0000
21	Mount Cameroon and Bioko montane forests	mount-cameroon-and-bioko-montane-forests	Mount Cameroon and Bioko Montane Forests	norm_exact	1.0000
22	Niger Delta swamp forests	niger-delta-swamp-forests	Niger Delta Swamp Forests	norm_exact	1.0000
23	Nigerian lowland forests	nigerian-lowland-forests	Nigerian Lowland Forests	norm_exact	1.0000
24	Northeast Congolian lowland forests	northeast-congolian-lowland-forests	Northeast Congolian Lowland Forests	norm_exact	1.0000
25	Northern Swahili coastal forests	northern-swahili-coastal-forests	Northern Swahili Coastal Forests	norm_exact	1.0000
26	Northwest Congolian lowland forests	northwest-congolian-lowland-forests	Northwest Congolian Lowland Forests	norm_exact	1.0000
27	São Tomé, Príncipe, and Annobón forests	sao-tome-principe-and-annobon-forests	São Tomé, Príncipe, and Annobón Forests	norm_exact	1.0000
28	Southern Swahili coastal forests and woodlands	southern-swahili-coastal-forests-and-woodlands	Southern Swahili Coastal Forests and Woodlands	norm_exact	1.0000
29	Western Congolian swamp forests	western-congolian-swamp-forests	Western Congolian Swamp Forests	norm_exact	1.0000
30	Western Guinean lowland forests	western-guinean-lowland-forests	Western Guinean Lowland Forests	norm_exact	1.0000
31	Cape Verde Islands dry forests	cape-verde-islands-dry-forests	Cape Verde Islands Dry Forests	norm_exact	1.0000
