eco_id	eco_name	eco_key	suggested_slug	suggested_title	suggested_key	sim
332	East Central Texas forests	east central texas forests	south-central-rockies-forests	South Central Rockies Forests	south central rockies forests	0.7636
332	East Central Texas forests	east central texas forests	central-southern-cascades-forests	Central-Southern Cascades Forests	central southern cascades forests	0.6780
332	East Central Texas forests	east central texas forests	eastern-australian-temperate-forests	Eastern Australian Temperate Forests	eastern australian temperate forests	0.6774
332	East Central Texas forests	east central texas forests	central-american-dry-forests	Central American Dry Forests	central american dry forests	0.6667
332	East Central Texas forests	east central texas forests	east-african-montane-forests	East African Montane Forests	east african montane forests	0.6667
333	Eastern Canadian Forest-Boreal transition	eastern canadian forest boreal transition	eastern-canadian-temperate-boreal-forest-transition	Eastern Canadian Temperate-Boreal Forest Transition	eastern canadian temperate boreal forest transition	0.8043
333	Eastern Canadian Forest-Boreal transition	eastern canadian forest boreal transition	eastern-canadian-boreal-forests	Eastern Canadian Boreal Forests	eastern canadian boreal forests	0.7222
333	Eastern Canadian Forest-Boreal transition	eastern canadian forest boreal transition	western-congolian-forest-savanna	Western Congolian Forest-Savanna	western congolian forest savanna	0.6575
333	Eastern Canadian Forest-Boreal transition	eastern canadian forest boreal transition	eastern-canadian-shield-taiga	Eastern Canadian Shield Taiga	eastern canadian shield taiga	0.6571
333	Eastern Canadian Forest-Boreal transition	eastern canadian forest boreal transition	central-us-forest-grasslands-transition	Central US Forest-Grasslands Transition	central us forest grasslands transition	0.6250
373	Eastern Canadian forests	eastern canadian forests	eastern-canadian-boreal-forests	Eastern Canadian Boreal Forests	eastern canadian boreal forests	0.8727
373	Eastern Canadian forests	eastern canadian forests	eastern-cascades-forests	Eastern Cascades Forests	eastern cascades forests	0.8333
373	Eastern Canadian forests	eastern canadian forests	eastern-guinean-forests	Eastern Guinean Forests	eastern guinean forests	0.8085
373	Eastern Canadian forests	eastern canadian forests	eastern-arc-forests	Eastern Arc Forests	eastern arc forests	0.7907
373	Eastern Canadian forests	eastern canadian forests	eastern-congolian-swamp-forests	Eastern Congolian Swamp Forests	eastern congolian swamp forests	0.7636
416	Interior Yukon-Alaska alpine tundra	interior yukon alaska alpine tundra	interior-alaska-yukon-alpine-tundra	Interior Alaska-Yukon Alpine Tundra	interior alaska yukon alpine tundra	0.8286
416	Interior Yukon-Alaska alpine tundra	interior yukon alaska alpine tundra	interior-alaska-yukon-lowland-taiga	Interior Alaska-Yukon Lowland Taiga	interior alaska yukon lowland taiga	0.6000
