eco_name	oe_slug	oe_title
Admiralty Islands lowland rain forests	admiralty-islands-lowland-rainforests	Admiralty Islands Lowland Rainforests
Andaman Islands rain forests	andaman-islands-rainforests	Andaman Islands Rainforests
Bahia interior forests	bahia-interior-forests	Bahía Interior Forests
Biak-Numfoor rain forests	biak-numfoor-rainforests	Biak-Numfoor Rainforests
Borneo lowland rain forests	borneo-lowland-rainforests	Borneo Lowland Rainforests
Borneo montane rain forests	borneo-montane-rainforests	Borneo Montane Rainforests
Buru rain forests	buru-rainforests	Buru Rainforests
Cardamom Mountains rain forests	cardamom-mountains-rainforests	Cardamom Mountains Rainforests
Central Range Papuan montane rain forests	central-range-papuan-montane-rainforests	Central Range Papuan Montane Rainforests
Eastern Java-Bali montane rain forests	eastern-java-bali-montane-rainforests	Eastern Java–Bali Montane Rainforests
Eastern Java-Bali rain forests	eastern-java-bali-rainforests	Eastern Java-Bali Rainforests
Greater Negros-Panay rain forests	greater-negros-panay-rainforests	Greater Negros-Panay Rainforests
Hainan Island monsoon rain forests	hainan-island-monsoon-rainforests	Hainan Island Monsoon Rainforests
Halmahera rain forests	halmahera-rainforests	Halmahera Rainforests
Huon Peninsula montane rain forests	huon-peninsula-montane-rainforests	Huon Peninsula Montane Rainforests
Kayah-Karen montane rain forests	kayah-karen-montane-rainforests	Kayah-Karen Montane Rainforests
Louisiade Archipelago rain forests	louisiade-archipelago-rainforests	Louisiade Archipelago Rainforests
Luang Prabang montane rain forests	luang-prabang-montane-rainforests	Luang Prabang Montane Rainforests
Luzon montane rain forests	luzon-montane-rainforests	Luzon Montane Rainforests
Luzon rain forests	luzon-rainforests	Luzon Rainforests
Marañón dry forests	maranon-dry-forests	Marañon Dry Forests
Mentawai Islands rain forests	mentawai-islands-rainforests	Mentawai Islands Rainforests
Mindanao montane rain forests	mindanao-montane-rainforests	Mindanao Montane Rainforests
Mindanao-Eastern Visayas rain forests	mindanao-eastern-visayas-rainforests	Mindanao-Eastern Visayas Rainforests
Mindoro rain forests	mindoro-rainforests	Mindoro Rainforests
Mizoram-Manipur-Kachin rain forests	mizoram-manipur-kachin-rainforests	Mizoram-Manipur-Kachin Rainforests
Myanmar coastal rain forests	myanmar-coastal-rainforests	Myanmar Coastal Rainforests
New Britain-New Ireland lowland rain forests	new-britain-new-ireland-lowland-rainforests	New Britain-New Ireland Lowland Rainforests
New Britain-New Ireland montane rain forests	new-britain-new-ireland-montane-rainforests	New Britain-New Ireland Montane Rainforests
New Caledonia rain forests	new-caledonia-rainforests	New Caledonia Rainforests
