eco_id	slug
0	NULL
54	NULL
153	southeastern-papuan-rainforests
199	eyre-and-yorke-mallee
215	tirari-stuart-stony-desert
299	southeastern-indochina-dry-evergreen-forests
332	east-central-texas-savanna-woodland
333	eastern-canadian-temperate-boreal-forest-transition
363	piney-woods-forests
365	haida-gwaii-conifer-forests
373	eastern-canadian-boreal-forests
399	southeast-us-conifer-savannas
400	NULL
416	interior-alaska-yukon-alpine-tundra
443	bahia-interior-forests
456	cordillera-de-la-costa-montane-forests
479	maranon-dry-forests
519	yucatan-moist-forests
548	trinidad-and-tobago-dry-forests
551	yucatan-dry-forests
606	paraguana-xeric-scrub
628	rapa-nui-and-sala-y-gomez-subtropical-broadleaf-forests
702	northeastern-himalayan-subalpine-conifer-forests
704	nujiang-lancang-gorge-subalpine-conifer-and-mixed-forests
745	saharan-halophytic
799	northeastern-spain-and-southern-france-mediterranean-forests
803	southeastern-iberian-shrubs-and-woodlands
833	north-saharan-xeric-steppe-and-woodlands
