eco_id	eco_name	status	best_title	best_url	score	redirected_from	candidates	notes
117	Adelie Land tundra	no_match	List of tundra ecoregions	https://en.wikipedia.org/wiki/List_of_tundra_ecoregions	51.16279069767442		List of tundra ecoregions | Antarctic realm | Ellsworth Land	Best score only 51
404	Ahklun and Kilbuck Upland Tundra	no_match	List of ecoregions in the United States (EPA)	https://en.wikipedia.org/wiki/List_of_ecoregions_in_the_United_States_(EPA)	33.76623376623377		List of ecoregions in the United States (EPA) | Columbia Plateau (ecoregion) | Cross Timbers	Best score only 34
722	Al-Hajar foothill xeric woodlands and shrublands	no_match	East Arabian fog shrublands and sand desert	https://en.wikipedia.org/wiki/East_Arabian_fog_shrublands_and_sand_desert	57.142857142857146		United Arab Emirates | South Arabian plains and plateau desert | East Arabian fog shrublands and sand desert	Best score only 57
723	Al-Hajar montane woodlands and shrublands	redirect	Al Hajar montane woodlands	https://en.wikipedia.org/wiki/Al_Hajar_montane_woodlands	79.06976744186046	Al-Hajar montane woodlands and shrublands		Redirects to: Al Hajar montane woodlands
330	Appalachian Piedmont forests	partial_match	Appalachian Highlands	https://en.wikipedia.org/wiki/Appalachian_Highlands	68.75		Appalachian Highlands | Southeastern mixed forests | Appalachian Mountains	Score 69, review needed
810	Arabian sand desert	strong_match	Arabian Desert	https://en.wikipedia.org/wiki/Arabian_Desert	100.0		Arabian Desert | Sand cat | Erg (landform)	
346	Arizona Mountains forests	redirect	Arizona/New Mexico Mountains ecoregion	https://en.wikipedia.org/wiki/Arizona/New_Mexico_Mountains_ecoregion	66.66666666666666	Arizona Mountains forests		Redirects to: Arizona/New Mexico Mountains ecoregion
612	Bahamian-Antillean mangroves	redirect	Greater Antilles mangroves	https://en.wikipedia.org/wiki/Greater_Antilles_mangroves	66.66666666666666	Bahamian-Antillean mangroves		Redirects to: Greater Antilles mangroves
564	Belizian pine savannas	redirect	Belizean pine forests	https://en.wikipedia.org/wiki/Belizean_pine_forests	69.76744186046511	Belizian pine savannas		Redirects to: Belizean pine forests
565	Beni savanna	redirect	Llanos de Moxos	https://en.wikipedia.org/wiki/Llanos_de_Moxos	29.629629629629633	Beni savanna		Redirects to: Llanos de Moxos
182	Brigalow tropical savanna	redirect	Brigalow Belt	https://en.wikipedia.org/wiki/Brigalow_Belt	76.19047619047619	Brigalow tropical savanna		Redirects to: Brigalow Belt
691	Caledon conifer forests	redirect	Caledonian Forest	https://en.wikipedia.org/wiki/Caledonian_Forest	75.0	Caledon conifer forests		Redirects to: Caledonian Forest
566	Campos Rupestres montane savanna	redirect	Campos rupestres	https://en.wikipedia.org/wiki/Campos_rupestres	100.0	Campos Rupestres montane savanna		Redirects to: Campos rupestres
599	Caribbean shrublands	partial_match	La Costa xeric shrublands	https://en.wikipedia.org/wiki/La_Costa_xeric_shrublands	66.66666666666666		Venezuelan Coastal Range | Nearctic realm | La Costa xeric shrublands	Score 67, review needed
652	Central Anatolian steppe and woodlands	redirect	Central Anatolian deciduous forests	https://en.wikipedia.org/wiki/Central_Anatolian_deciduous_forests	65.38461538461539	Central Anatolian steppe and woodlands		Redirects to: Central Anatolian deciduous forests
38	Central bushveld	strong_match	Bushveld	https://en.wikipedia.org/wiki/Bushveld	100.0		Bushveld | Geography of South Africa | Bushveld Igneous Complex	
352	Central-Southern Cascades Forests	no_match	Cascades (ecoregion)	https://en.wikipedia.org/wiki/Cascades_(ecoregion)	57.142857142857146		Cascades (ecoregion) | Cascade Range | List of ecoregions in the United States (EPA)	Best score only 57
389	Central-Southern US mixed grasslands	no_match	Central forest–grasslands transition	https://en.wikipedia.org/wiki/Central_forest%E2%80%93grasslands_transition	58.333333333333336		Central Great Plains (ecoregion) | Mixed grass prairie | Central forest–grasslands transition	Best score only 58
167	Chatham Island temperate forests	redirect	Chatham Islands	https://en.wikipedia.org/wiki/Chatham_Islands	63.63636363636363	Chatham Island temperate forests		Redirects to: Chatham Islands
292	Chhota-Nagpur dry deciduous forests	redirect	Chota Nagpur Plateau	https://en.wikipedia.org/wiki/Chota_Nagpur_Plateau	50.90909090909091	Chhota-Nagpur dry deciduous forests		Redirects to: Chota Nagpur Plateau
390	Cross-Timbers savanna-woodland	no_match	Cross Timbers	https://en.wikipedia.org/wiki/Cross_Timbers	55.81395348837209		Cross Timbers | East Central Texas forests | Cross–Niger transition forests	Best score only 56
40	Drakensberg Escarpment savanna and thicket	no_match	List of vegetation types of South Africa	https://en.wikipedia.org/wiki/List_of_vegetation_types_of_South_Africa	32.911392405063296		Veld | Geography of South Africa | Mariepskop	Best score only 33
119	Dronning Maud Land tundra	no_match	List of tundra ecoregions	https://en.wikipedia.org/wiki/List_of_tundra_ecoregions	52.0		List of tundra ecoregions | List of terrestrial ecoregions (WWF) | Antarctic realm	Best score only 52
69	East African halophytics	redirect	Lake Natron	https://en.wikipedia.org/wiki/Lake_Natron	28.57142857142857	East African halophytics		Redirects to: Lake Natron
191	Eastern Australia mulga shrublands	redirect	Mulga Lands	https://en.wikipedia.org/wiki/Mulga_Lands	62.5	Eastern Australia mulga shrublands		Redirects to: Mulga Lands
333	Eastern Canadian Forest-Boreal transition	partial_match	Eastern forest–boreal transition	https://en.wikipedia.org/wiki/Eastern_forest%E2%80%93boreal_transition	84.93150684931507		Eastern forest–boreal transition | Boreal forest of Canada | Eastern Canadian Boreal Forests	Score 85, review needed
185	Einasleigh upland savanna	redirect	Einasleigh Uplands	https://en.wikipedia.org/wiki/Einasleigh_Uplands	79.06976744186046	Einasleigh upland savanna		Redirects to: Einasleigh Uplands
122	Ellsworth Mountains tundra	partial_match	Ellsworth Land	https://en.wikipedia.org/wiki/Ellsworth_Land	78.26086956521739		List of tundra ecoregions | Antarctic realm | Ellsworth Land	Score 78, review needed
123	Enderby Land tundra	no_match	List of tundra ecoregions	https://en.wikipedia.org/wiki/List_of_tundra_ecoregions	50.0		List of tundra ecoregions | Antarctic realm | Auckland Islands	Best score only 50
199	Eyre and York mallee	redirect	Eyre Yorke Block	https://en.wikipedia.org/wiki/Eyre_Yorke_Block	61.111111111111114	Eyre and York mallee		Redirects to: Eyre Yorke Block
462	Fernando de Noronha-Atol das Rocas moist forests	redirect	Fernando de Noronha	https://en.wikipedia.org/wiki/Fernando_de_Noronha	73.33333333333333	Fernando de Noronha-Atol das Rocas moist forests		Redirects to: Fernando de Noronha
200	Flinders-Lofty montane woodlands	no_match	Australian Alps montane grasslands	https://en.wikipedia.org/wiki/Australian_Alps_montane_grasslands	54.54545454545455		Australian Alps montane grasslands | List of ecoregions in Australia | Southeast Australia temperate forests	Best score only 55
94	Gariep Karoo	partial_match	Gariep Arts Festival	https://en.wikipedia.org/wiki/Gariep_Arts_Festival	66.66666666666666		Gariep Arts Festival | Gariep Nature Reserve | Orange River	Score 67, review needed
201	Hampton mallee and woodlands	redirect	Hampton bioregion	https://en.wikipedia.org/wiki/Hampton_bioregion	58.333333333333336	Hampton mallee and woodlands		Redirects to: Hampton bioregion
45	Horn of Africa xeric bushlands	no_match	Djibouti xeric shrublands	https://en.wikipedia.org/wiki/Djibouti_xeric_shrublands	58.18181818181818		Somali Acacia–Commiphora bushlands and thickets | Djibouti xeric shrublands | Somalia	Best score only 58
96	Ile Europa and Bassas da India xeric scrub	redirect	Europa Island	https://en.wikipedia.org/wiki/Europa_Island	63.1578947368421	Ile Europa and Bassas da India xeric scrub		Redirects to: Europa Island
336	Interior Plateau US Hardwood Forests	partial_match	Central U.S. hardwood forests	https://en.wikipedia.org/wiki/Central_U.S._hardwood_forests	73.84615384615384		Interior Low Plateaus | Central U.S. hardwood forests | List of ecoregions in the United States (EPA)	Score 74, review needed
533	Islas Revillagigedo dry forests	redirect	Revillagigedo Islands	https://en.wikipedia.org/wiki/Revillagigedo_Islands	76.47058823529412	Islas Revillagigedo dry forests		Redirects to: Revillagigedo Islands
